순위,역코드,역명,일평균승차인원
256,2759,삼산체육관,4077
257,2827,모란(8),3947
258,328,잠원,3938
259,2754,부천종합운동장,3887
260,2825,신흥,3884
261,4134,송파나루,3865
262,2541,왕십리(5),3860
263,428,삼각지(4),3839
264,2613,불광(6),3768
265,2564,하남풍산,3767
266,2532,충정로(5),3744
267,2556,올림픽공원(5),3473
268,4130,종합운동장(9),3401
269,2524,영등포구청(5),3396
270,2526,신길(5),3297
271,2538,청구(5),3260
272,315,무악재,3257
273,309,지축,3185
274,2635,청구(6),3100
275,2612,역촌,3058
276,2558,오금(5),3030
277,246,신설동(2),3011
278,2638,창신,2905
279,2634,약수(6),2857
280,2562,강일,2745
281,431,동작,2637
282,244,용답,2373
283,2614,독바위,2350
284,2537,동대문역사문화공원(5),2156
285,4135,한성백제,2004
286,250,용두,1986
287,2711,장암,1945
288,2633,버티고개,1871
289,336,학여울,1723
290,245,신답,1314
291,247,도림천,1162
292,434,남태령,1041
293,4137,둔촌오륜,919
